 x                 j0(x)             j1(x)             n0(x)             n1(x)             
        x             j0(x)            j1(x)             n0(x)            n1(x)
   9.99999978E-03  0.999983311       3.33404541E-03  -10000.5000      -99.9950027    
  0.161414146      0.995663285       5.36651611E-02  -38.8777962      -6.11471176    
  0.312828273      0.983769417      0.103259087      -10.7063541      -3.04149938    
  0.464242399      0.964464903      0.151437759      -5.11329937      -1.92606497    
  0.615656555      0.938014328      0.197544932      -3.09190178      -1.32605505    
  0.767070711      0.904778719      0.240958214      -2.12835073     -0.938566327    
  0.918484807      0.865210593      0.281099558      -1.58476329     -0.660898209    
   1.06989896      0.819845676      0.317443758      -1.23936141     -0.448839456    
   1.22131312      0.769294798      0.349527478     -0.998854280     -0.280364037    
   1.37272727      0.714233935      0.376955688     -0.818659008     -0.143347129    
   1.52414143      0.655393124      0.399408579     -0.675469697      -3.05995028E-02
   1.67555559      0.593545079      0.416645586     -0.556299031       6.24078065E-02
   1.82696962      0.529492497      0.428509116     -0.453580439      0.138688996    
   1.97838378      0.464055449      0.434926242     -0.362779170      0.200363338    
   2.12979794      0.398058891      0.435909390     -0.281141907      0.249009550    
   2.28121209      0.332319289      0.431554943     -0.207000688      0.285878301    
   2.43262625      0.267632395      0.422040820     -0.139366522      0.312022924    
   2.58404040      0.204761013      0.407622814      -7.76801258E-02  0.328382164    
   2.73545456      0.144423723      0.388629019      -2.16536075E-02  0.335832059    
   2.88686872       8.72842893E-02  0.365453809       2.88342163E-02  0.335218877    
   3.03828287       3.39422338E-02  0.338549972       7.38089085E-02  0.327378452    
   3.18969703      -1.50753576E-02  0.308420479      0.113249801      0.313146740    
   3.34111118      -5.93208149E-02  0.275609285      0.147125170      0.293364108    
   3.49252534      -9.84312892E-02  0.240691498      0.175417110      0.268874913    
   3.64393926     -0.132132709      0.204263136      0.198139310      0.240524083    
   3.79535341     -0.160242260      0.166930422      0.215349391      0.209151059    
   3.94676757     -0.182668939      0.129299790      0.227156729      0.175582960    
   4.09818220     -0.199413002       9.19669867E-02  0.233727217      0.140625879    
   4.24959612     -0.210563332       5.55077679E-02  0.235284925      0.105056792    
   4.40101051     -0.216294006       2.04673707E-02  0.232111692       6.96138144E-02
   4.55242443     -0.216858715      -1.26472227E-02  0.224544436       3.49886529E-02
   4.70383883     -0.212584555      -4.33761664E-02  0.212970972       1.81767507E-03
   4.85525274     -0.203864217      -7.13129714E-02  0.197824448      -2.93245874E-02
   5.00666666     -0.191147506      -9.61110890E-02  0.179576442      -5.79324886E-02
   5.15808105     -0.174931824     -0.117488317      0.158729255      -8.35741907E-02
   5.30949497     -0.155752331     -0.135230169      0.135807782     -0.105895489    
   5.46090937     -0.134171173     -0.149192482      0.111350231     -0.124623090    
   5.61232328     -0.110767215     -0.159301803       8.58995467E-02 -0.139565378    
   5.76373768      -8.61247927E-02 -0.165555462       5.99936694E-02 -0.150612935    
   5.91515160      -6.08237162E-02 -0.168019414       3.41571607E-02 -0.157736719    
   6.06656599      -3.54284756E-02 -0.166825548       8.89194943E-03 -0.160985589    
   6.21797991      -1.04791597E-02 -0.162167475      -1.53302159E-02 -0.160482168    
   6.36939430       1.35181220E-02 -0.154295400      -3.80758345E-02 -0.156417757    
   6.52080822       3.60987447E-02 -0.143510059      -5.89557253E-02 -0.149045989    
   6.67222261       5.68472967E-02 -0.130155623      -7.76313171E-02 -0.138675615    
   6.82363653       7.54030421E-02 -0.114612430      -9.38188359E-02 -0.125662699    
   6.97505093       9.14652720E-02  -9.72884446E-02 -0.107293352     -0.110401653    
   7.12646484      0.104796432      -7.86113143E-02 -0.117890798      -9.33165625E-02
   7.27787876      0.115224779      -5.90192825E-02 -0.125509575      -7.48514757E-02
   7.42929316      0.122645199      -3.89527977E-02 -0.130110398      -5.54611236E-02
   7.58070707      0.127018794      -1.88461486E-02 -0.131715149      -3.56016830E-02
   7.73212147      0.128371522       8.81096348E-04 -0.130404770      -1.57212727E-02
   7.88353539      0.126791254       1.98312942E-02 -0.126315802       3.74824856E-03
   8.03494930      0.122423917       3.76362614E-02 -0.119636118       2.23998334E-02
   8.18636417      0.115468554       5.39634749E-02 -0.110599667       3.98584865E-02
   8.33777809      0.106171615       6.85212389E-02  -9.94806886E-02   5.57874404E-02
   8.48919201       9.48202014E-02   8.10639113E-02  -8.65868628E-02   6.98943883E-02
   8.64060593       8.17349181E-02   9.13949981E-02  -7.22522959E-02   8.19355994E-02
   8.79202080       6.72621727E-02   9.93699059E-02  -5.68300411E-02   9.17195380E-02
   8.94343472       5.17664887E-02  0.104897097      -4.06847410E-02   9.91088822E-02
   9.09484863       3.56219411E-02  0.107938819      -2.41844654E-02  0.104022101    
   9.24626255       1.92043837E-02  0.108510092      -7.69345183E-03  0.106433101    
   9.39767742       2.88339565E-03  0.106677026       8.43537971E-03  0.106370203    
   9.54909134      -1.29848421E-02  0.102554075       2.38669105E-02  0.103913873    
   9.70050526      -2.80652232E-02   9.63003710E-02   3.82908285E-02   9.91935432E-02
   9.85191917      -4.20497321E-02   8.81152153E-02   5.14269322E-02   9.23833922E-02
   10.0033331      -5.46632595E-02   7.82329589E-02   6.30302131E-02   8.36974606E-02
   10.1547480      -6.56685233E-02   6.69170544E-02   7.28950799E-02   7.33838379E-02
   10.3061619      -7.48697668E-02   5.44542335E-02   8.08582976E-02   6.17187954E-02
   10.4575758      -8.21161643E-02   4.11474071E-02   8.68017375E-02   4.89997193E-02
   10.6089897      -8.73035267E-02   2.73092650E-02   9.06533748E-02   3.55384685E-02
   10.7604046      -9.03753042E-02   1.32553317E-02   9.23876986E-02   2.16542073E-02
   10.9118185      -9.13224965E-02  -7.02413730E-04   9.20251012E-02   7.66672287E-03
   11.0632324      -9.01826918E-02  -1.42624881E-02   8.96303281E-02  -6.11091964E-03
   11.2146463      -8.70379284E-02  -2.71396749E-02   8.53099599E-02  -1.93785820E-02
   11.3660612      -8.20117965E-02  -3.90708074E-02   7.92091265E-02  -3.18553075E-02
   11.5174751      -7.52658993E-02  -4.98194881E-02   7.15077370E-02  -4.32845578E-02
   11.6688890      -6.69951513E-02  -5.91809452E-02   6.24154881E-02  -5.34395985E-02
   11.8203030      -5.74229136E-02  -6.69853017E-02   5.21669313E-02  -6.21273108E-02
   11.9717178      -4.67953905E-02  -7.31004849E-02   4.10157964E-02  -6.91916570E-02
   12.1231318      -3.53759751E-02  -7.74340630E-02   2.92293783E-02  -7.45160058E-02
   12.2745457      -2.34387908E-02  -7.99344704E-02   1.70821473E-02  -7.80249238E-02
   12.4259596      -1.12627205E-02  -8.05910602E-02   4.84996196E-03  -7.96846747E-02
   12.5773735       8.74798570E-04  -7.94334933E-02  -7.19591556E-03  -7.95030445E-02
   12.7287884       1.27038499E-02  -7.65300915E-02  -1.87946223E-02  -7.75281340E-02
   12.8802023       2.39674356E-02  -7.19856918E-02  -2.97007672E-02  -7.38464892E-02
   13.0316162       3.44272181E-02  -6.59384206E-02  -3.96898240E-02  -6.85802400E-02
   13.1830301       4.38680016E-02  -5.85561022E-02  -4.85621952E-02  -6.18837141E-02
   13.3344450       5.21020219E-02  -5.00319153E-02  -5.61471283E-02  -5.39392419E-02
   13.4858589       5.89722544E-02  -4.05799113E-02  -6.23055845E-02  -4.49528061E-02
   13.6372728       6.43554851E-02  -3.04296296E-02  -6.69328868E-02  -3.51487175E-02
   13.7886868       6.81640506E-02  -1.98210087E-02  -6.99600503E-02  -2.47644857E-02
   13.9401016       7.03470781E-02  -8.99887457E-03  -7.13546202E-02  -1.40452562E-02
   14.0915155       7.08907545E-02   1.79222785E-03  -7.11205751E-02  -3.23851220E-03
   14.2429295       6.98179677E-02   1.23137180E-02  -6.92975819E-02   7.41177984E-03
   14.3943434       6.71869516E-02   2.23377887E-02  -6.59593716E-02   1.76701955E-02
   14.5457573       6.30893111E-02   3.16522159E-02  -6.12114482E-02   2.73149144E-02
   14.6971722       5.76473027E-02   4.00647111E-02  -5.51881641E-02   3.61423716E-02
   14.8485861       5.10106497E-02   4.74065319E-02  -4.80493493E-02   4.39711437E-02
   15.0000000       4.33525257E-02   5.35360314E-02  -3.99761349E-02   5.06458618E-02
